1010001B22Rik	1010001B22Rik|Gm26808
Gm22533	Gm22533
Gm22534	Gm22534
Gm22535	Gm22535
Gm22536	Gm22536
Gm22537	Gm22537
Gm22538	Gm22538
Gm22539	Gm22539
Gm22540	Gm22540
Gm22541	Gm22541
Gm22542	Gm22542
Gm22543	Gm22543
Gm22544	Gm22544
Gm22545	Gm22545
Gm22546	Gm22546
Gm22551	Gm22551
Gm22552	Gm22552
Gm22553	Gm22553
Gm22554	Gm22554
Gm22556	Gm22556
Gm22557	Gm22557
Gm22558	Gm22558
Gm22559	Gm22559
Gm22560	Gm22560
Gm22561	Gm22561
Gm22562	Gm22562
Gm22563	Gm22563
Gm22565	Gm22565
Gm22566	Gm22566
Gm22567	Gm22567
Gm22571	Gm22571
Gm22572	Gm22572
Gm22573	Gm22573
Gm22574	Gm22574
Gm22575	Gm22575
Gm22576	Gm22576
Gm22578	Gm22578
Gm22579	Gm22579
Gm22581	Gm22581
Gm22582	Gm22582
Gm22586	Gm22586
Gm22587	Gm22587
Gm22588	Gm22588
Gm22589	Gm22589
Gm22590	Gm22590
Gm22591	Gm22591
Gm22592	Gm22592
Gm22593	Gm22593
Gm22594	Gm22594
Gm22595	Gm22595
Gm22596	Gm22596
Gm22598	Gm22598
Gm22599	Gm22599
Gm22600	Gm22600
Gm22601	Gm22601
Gm22602	Gm22602
Gm22603	Gm22603
Gm22604	Gm22604
Gm22605	Gm22605
Gm22606	Gm22606
Gm22607	Gm22607
Gm22608	Gm22608
Gm22609	Gm22609
Gm22611	Gm22611
Gm22612	Gm22612
Gm22613	Gm22613
Gm22620	Gm22620
Gm22636	Gm22636
Gm22637	Gm22637
Gm22642	Gm22642
Gm22643	Gm22643
Gm22646	Gm22646
Gm22649	Gm22649
Gm22650	Gm22650
Gm22651	Gm22651
Gm22652	Gm22652
Gm22654	Gm22654
Gm22656	Gm22656
Gm22657	Gm22657
Gm22658	Gm22658
Gm22659	Gm22659
Gm22660	Gm22660
Gm22661	Gm22661
Gm22662	Gm22662
Gm22663	Gm22663
Gm22664	Gm22664
Gm22665	Gm22665
Gm22666	Gm22666
Gm22667	Gm22667
Gm22668	Gm22668
Gm22669	Gm22669
Gm22670	Gm22670
Gm22671	Gm22671
Gm22672	Gm22672
Gm22673	Gm22673
Gm22674	Gm22674
Gm22675	Gm22675
Gm22676	Gm22676
Gm22679	Gm22679
Gm22680	Gm22680
Gm22681	Gm22681
Gm22683	Gm22683
Gm22684	Gm22684
Gm22686	Gm22686
Gm22687	Gm22687
Gm22689	Gm22689
Gm22690	Gm22690
Gm22693	Gm22693
Gm22694	Gm22694
Gm22697	Gm22697
Gm22698	Gm22698
Gm22699	Gm22699
Gm22701	Gm22701
Gm22702	Gm22702
Gm22704	Gm22704
Gm22706	Gm22706
Gm22708	Gm22708
Gm22709	Gm22709
Gm22710	Gm22710
Gm22711	Gm22711
Gm22713	Gm22713
Gm22714	Gm22714
Gm22717	Gm22717
Gm22718	Gm22718
Gm22720	Gm22720
Gm22721	Gm22721
Gm22725	Gm22725
Gm22726	Gm22726
Gm22727	Gm22727
Gm22728	Gm22728
Gm22729	Gm22729
Gm22730	Gm22730
Gm22731	Gm22731
Gm22732	Gm22732
Gm22733	Gm22733
Gm22738	Gm22738
Gm22739	Gm22739
Gm22741	Gm22741
Gm22743	Gm22743
Gm22744	Gm22744
Gm22748	Gm22748
Gm22751	Gm22751
Gm22752	Gm22752
Gm22755	Gm22755
Gm22760	Gm22760
Gm22762	Gm22762
Gm22763	Gm22763
Gm22764	Gm22764
Gm22765	Gm22765
Gm22766	Gm22766
Gm22767	Gm22767
Gm22768	Gm22768
Gm22769	Gm22769
Gm22770	Gm22770
Gm22771	Gm22771
Gm22772	Gm22772
Gm22773	Gm22773
Gm22777	Gm22777
Gm22778	Gm22778
Gm22779	Gm22779
Gm22780	Gm22780
Gm22781	Gm22781
Gm22783	Gm22783
Gm22784	Gm22784
Gm22785	Gm22785
Gm22787	Gm22787
Gm22788	Gm22788
Gm22789	Gm22789
Gm22790	Gm22790
Gm22791	Gm22791
Gm22792	Gm22792
Gm22793	Gm22793
Gm22794	Gm22794
Gm22795	Gm22795
Gm22796	Gm22796
Gm22797	Gm22797
Gm22800	Gm22800
Gm22801	Gm22801
Gm22803	Gm22803
Gm22804	Gm22804
Gm22806	Gm22806
Gm22807	Gm22807
Gm22809	Gm22809
Gm22810	Gm22810
Gm22811	Gm22811
Gm22813	Gm22813
Gm22814	Gm22814
Gm22815	Gm22815
Gm22816	Gm22816
Gm22817	Gm22817
Gm22818	Gm22818
Gm22819	Gm22819
Gm22820	Gm22820
Gm22824	Gm22824
Gm22826	Gm22826
Gm22827	Gm22827
Gm22830	Gm22830
Gm22831	Gm22831
Gm22836	Gm22836
Gm22838	Gm22838
Gm22839	Gm22839
Gm22840	Gm22840
Gm22841	Gm22841
Gm22842	Gm22842
Gm22843	Gm22843
Gm22845	Gm22845
Gm22846	Gm22846
Gm22847	Gm22847
Gm22849	Gm22849
Gm22850	Gm22850
Gm22853	Gm22853
Gm22854	Gm22854
Gm22857	Gm22857
Gm22858	Gm22858
Gm22859	Gm22859
Gm22860	Gm22860
Gm22864	Gm22864
Gm22865	Gm22865
Gm22866	Gm22866
Gm22867	Gm22867
Gm22868	Gm22868
Gm22870	Gm22870
Gm22871	Gm22871
Gm22876	Gm22876
Gm22877	Gm22877
Gm22879	Gm22879
Gm22880	Gm22880
Gm22881	Gm22881
Gm22882	Gm22882
Gm22883	Gm22883
Gm22887	Gm22887
Gm22888	Gm22888
Gm22889	Gm22889
Gm22890	Gm22890
Gm22891	Gm22891
Gm22892	Gm22892
Gm22893	Gm22893
Gm22894	Gm22894
Gm22895	Gm22895
Gm22897	Gm22897
Gm22899	Gm22899
Gm22900	Gm22900
Gm22901	Gm22901
Gm22902	Gm22902
Gm22904	Gm22904
Gm22906	Gm22906
Gm22907	Gm22907
Gm22910	Gm22910
Gm22914	Gm22914
Gm22915	Gm22915
Gm22916	Gm22916
Gm22920	Gm22920
Gm22923	Gm22923
Gm22926	Gm22926
Gm22927	Gm22927
Gm22929	Gm22929
Gm22932	Gm22932
Gm22933	Gm22933
Gm22934	Gm22934
Gm22935	Gm22935
Gm22936	Gm22936
Gm22937	Gm22937
Gm22938	Gm22938
Gm22939	Gm22939
Gm22940	Gm22940
Gm22942	Gm22942
Gm22943	Gm22943
Gm22944	Gm22944
Gm22945	Gm22945
Gm22946	Gm22946
Gm22947	Gm22947
Gm22948	Gm22948
Gm22949	Gm22949
Gm22952	Gm22952
Gm22953	Gm22953
Gm22955	Gm22955
Gm22956	Gm22956
Gm22957	Gm22957
Gm22958	Gm22958
Gm22959	Gm22959
Gm22960	Gm22960
Gm22961	Gm22961
Gm22962	Gm22962
Gm22963	Gm22963
Gm22965	Gm22965
Gm22966	Gm22966
Gm22967	Gm22967
Gm22968	Gm22968
Gm22970	Gm22970
Gm22971	Gm22971
Gm22972	Gm22972
Gm22973	Gm22973
Gm22975	Gm22975
Gm22978	Gm22978
Gm22979	Gm22979
Gm22980	Gm22980
Gm22982	Gm22982
Gm22983	Gm22983
Gm22984	Gm22984
Gm22985	Gm22985
Gm22986	Gm22986
Gm22987	Gm22987
Gm22989	Gm22989
Gm22990	Gm22990
Gm22993	Gm22993
Gm22994	Gm22994
Gm22999	Gm22999
Gm23000	Gm23000
Gm23007	Gm23007
Gm23008	Gm23008
Gm23010	Gm23010
Gm23011	Gm23011
Gm23012	Gm23012
Gm23013	Gm23013
Gm23014	Gm23014
Gm23015	Gm23015
Gm23016	Gm23016
Gm23020	Gm23020
Gm23022	Gm23022
Gm23023	Gm23023
Gm23024	Gm23024
Gm23025	Gm23025
Gm23026	Gm23026
Gm23027	Gm23027
Gm23028	Gm23028
Gm23030	Gm23030
Gm23031	Gm23031
Gm23032	Gm23032
Gm23033	Gm23033
Gm23034	Gm23034
Gm23035	Gm23035
Gm23036	Gm23036
Gm23037	Gm23037
Gm23039	Gm23039
Gm23040	Gm23040
Gm23043	Gm23043
Gm23044	Gm23044
Gm23046	Gm23046
Gm23048	Gm23048
Gm23053	Gm23053
Gm23054	Gm23054
Gm23055	Gm23055
Gm23056	Gm23056
Gm23058	Gm23058
Gm23059	Gm23059
Gm23060	Gm23060
Gm23061	Gm23061
Gm23062	Gm23062
Gm23063	Gm23063
Gm23065	Gm23065
Gm23066	Gm23066
Gm23067	Gm23067
Gm23068	Gm23068
Gm23069	Gm23069
Gm23071	Gm23071
Gm23072	Gm23072
Gm23075	Gm23075
Gm23077	Gm23077
Gm23078	Gm23078
Gm23080	Gm23080
Gm23082	Gm23082
Gm23083	Gm23083
Gm23084	Gm23084
Gm23085	Gm23085
Gm23086	Gm23086
Gm23090	Gm23090
Gm23093	Gm23093
Gm23094	Gm23094
Gm23097	Gm23097
Gm23098	Gm23098
Gm23099	Gm23099
Gm2310	Gm2310
Gm23100	Gm23100
Gm23101	Gm23101
Gm23102	Gm23102
Gm23104	Gm23104
Gm23105	Gm23105
Gm23106	Gm23106
Gm23109	Gm23109
Gm23111	Gm23111
Gm23112	Gm23112
Gm23113	Gm23113
Gm23114	Gm23114
Gm23116	Gm23116
Gm23117	Gm23117
Gm23118	Gm23118
Gm23119	Gm23119
Gm23120	Gm23120
Gm23121	Gm23121
Gm23122	Gm23122
Gm23123	Gm23123
Gm23124	Gm23124
Gm23125	Gm23125
Gm23126	Gm23126
Gm23127	Gm23127
Gm23128	Gm23128
Gm23129	Gm23129
Gm23130	Gm23130
Gm23131	Gm23131
Gm23132	Gm23132
Gm23133	Gm23133
Gm23134	Gm23134
Gm23139	Gm23139
Gm23149	Gm23149
Gm23152	Gm23152
Gm23153	Gm23153
Gm23154	Gm23154
Gm23156	Gm23156
Gm23162	Gm23162
Gm23163	Gm23163
Gm23164	Gm23164
Gm23166	Gm23166
Gm23167	Gm23167
Gm23168	Gm23168
Gm23169	Gm23169
Gm23170	Gm23170
Gm23171	Gm23171
Gm23172	Gm23172
Gm23173	Gm23173
Gm23175	Gm23175
Gm23176	Gm23176
Gm23178	Gm23178
Gm23179	Gm23179
Gm23180	Gm23180
Gm23181	Gm23181
Gm23182	Gm23182
Gm23183	Gm23183
Gm23184	Gm23184
Gm23185	Gm23185
Gm23187	Gm23187
Gm23190	Gm23190
Gm23192	Gm23192
Gm23193	Gm23193
Gm23194	Gm23194
Gm23195	Gm23195
Gm23196	Gm23196
Gm23197	Gm23197
Gm23198	Gm23198
Gm23199	Gm23199
Gm23200	Gm23200
Gm23201	Gm23201
Gm23202	Gm23202
Gm23203	Gm23203
Gm23205	Gm23205
Gm23206	Gm23206
Gm23207	Gm23207
Gm23208	Gm23208
Gm23209	Gm23209
Gm23210	Gm23210
Gm23211	Gm23211
Gm23212	Gm23212
Gm23213	Gm23213
Gm23214	Gm23214
Gm23216	Gm23216
Gm23218	Gm23218
Gm23219	Gm23219
Gm23220	Gm23220
Gm23221	Gm23221
Gm23222	Gm23222
Gm23223	Gm23223
Gm23224	Gm23224
Gm23225	Gm23225
Gm23226	Gm23226
Gm23228	Gm23228
Gm23229	Gm23229
Gm23230	Gm23230
Gm23231	Gm23231
Gm23232	Gm23232
Gm23233	Gm23233
Gm23234	Gm23234
Gm23237	Gm23237
Gm23238	Gm23238
Gm23239	Gm23239
Gm23240	Gm23240
Gm23241	Gm23241
Gm23242	Gm23242
Gm23244	Gm23244
Gm23245	Gm23245
Gm23246	Gm23246
Gm23249	Gm23249
Gm23250	Gm23250
Gm23253	Gm23253
Gm23257	Gm23257
Gm23258	Gm23258
Gm23259	Gm23259
Gm23260	Gm23260
Gm23262	Gm23262
Gm23263	Gm23263
Gm23267	Gm23267
Gm23268	Gm23268
Gm23270	Gm23270
Gm23271	Gm23271
Gm23272	Gm23272
Gm23273	Gm23273
Gm23274	Gm23274
Gm23275	Gm23275
Gm23276	Gm23276
Gm23277	Gm23277
Gm23278	Gm23278
Gm23279	Gm23279
Gm23280	Gm23280
Gm23289	Gm23289
Gm23293	Gm23293
Gm23294	Gm23294
Gm23297	Gm23297
Gm23299	Gm23299
Gm23300	Gm23300
Gm23301	Gm23301
Gm23302	Gm23302
Gm23303	Gm23303
Gm23308	Gm23308
Gm23312	Gm23312
Gm23314	Gm23314
Gm23315	Gm23315
Gm23316	Gm23316
Gm23317	Gm23317
Gm23318	Gm23318
Gm23319	Gm23319
Gm23320	Gm23320
Gm23321	Gm23321
Gm23322	Gm23322
Gm23323	Gm23323
Gm23324	Gm23324
Gm23325	Gm23325
Gm23326	Gm23326
Gm23327	Gm23327
Gm23328	Gm23328
Gm23329	Gm23329
Gm23331	Gm23331
Gm23332	Gm23332
Gm23334	Gm23334
Gm23335	Gm23335
Gm23336	Gm23336
Gm23337	Gm23337
Gm23338	Gm23338
Gm23339	Gm23339
Gm23340	Gm23340
Gm23341	Gm23341
Gm23342	Gm23342
Gm23343	Gm23343
Gm23344	Gm23344
Gm23345	Gm23345
Gm23346	Gm23346
Gm23347	Gm23347
Gm23349	Gm23349
Gm23350	Gm23350
Gm23351	Gm23351
Gm23352	Gm23352
Gm23353	Gm23353
Gm23354	Gm23354
Gm23362	Gm23362
Gm23363	Gm23363
Gm23364	Gm23364
Gm23366	Gm23366
Gm23370	Gm23370
Gm23374	Gm23374
Gm23375	Gm23375
Gm23376	Gm23376
Gm23377	Gm23377
Gm23378	Gm23378
Gm23380	Gm23380
Gm23381	Gm23381
Gm23382	Gm23382
Gm23384	Gm23384
Gm23385	Gm23385
Gm23387	Gm23387
Gm23388	Gm23388
Gm23389	Gm23389
Gm23390	Gm23390
Gm23391	Gm23391
Gm23392	Gm23392
Gm23393	Gm23393
Gm23394	Gm23394
Gm23404	Gm23404
Gm23405	Gm23405
Gm23408	Gm23408
Gm23409	Gm23409
Gm23411	Gm23411
Gm23415	Gm23415
Gm23416	Gm23416
Gm23417	Gm23417
Gm23419	Gm23419
Gm23421	Gm23421
Gm23423	Gm23423
Gm23426	Gm23426
Gm23429	Gm23429
Gm23430	Gm23430
Gm23431	Gm23431
Gm23432	Gm23432
Gm23434	Gm23434
Gm23435	Gm23435
Gm23437	Gm23437
Gm23438	Gm23438
Gm23439	Gm23439
Gm23440	Gm23440
Gm23441	Gm23441
Gm23442	Gm23442
Gm23447	Gm23447
Gm23448	Gm23448
Gm23450	Gm23450
Gm23451	Gm23451
Gm23454	Gm23454
Gm23455	Gm23455
Gm23456	Gm23456
Gm23458	Gm23458
Gm23459	Gm23459
Gm23463	Gm23463
Gm23464	Gm23464
Gm23465	Gm23465
Gm23466	Gm23466
Gm23467	Gm23467
Gm23468	Gm23468
Gm23469	Gm23469
Gm23470	Gm23470
Gm23473	Gm23473
Gm23474	Gm23474
Gm23476	Gm23476
Gm23477	Gm23477
Gm23479	Gm23479
Gm23481	Gm23481
Gm23482	Gm23482
Gm23483	Gm23483
Gm23484	Gm23484
Gm23485	Gm23485
Gm23492	Gm23492
Gm23493	Gm23493
Gm23494	Gm23494
Gm23496	Gm23496
Gm23497	Gm23497
Gm23498	Gm23498
Gm23499	Gm23499
Gm23500	Gm23500
Gm23501	Gm23501
Gm23502	Gm23502
Gm23504	Gm23504
Gm23505	Gm23505
Gm23508	Gm23508
Gm23509	Gm23509
Gm23510	Gm23510
Gm23514	Gm23514
Gm23515	Gm23515
Gm23516	Gm23516
Gm23517	Gm23517
Gm23518	Gm23518
Gm23527	Gm23527
Gm23528	Gm23528
Gm23529	Gm23529
Gm23530	Gm23530
Gm23531	Gm23531
Gm23532	Gm23532
Gm23533	Gm23533
Gm23534	Gm23534
Gm23535	Gm23535
Gm23536	Gm23536
Gm23537	Gm23537
Gm23538	Gm23538
Gm23539	Gm23539
Gm23540	Gm23540
Gm23543	Gm23543
Gm23545	Gm23545
Gm23547	Gm23547
Gm23548	Gm23548
Gm23551	Gm23551
Gm23553	Gm23553
Gm23554	Gm23554
Gm23555	Gm23555
Gm23556	Gm23556
Gm23557	Gm23557
Gm23558	Gm23558
Gm23559	Gm23559
Gm23562	Gm23562
Gm23563	Gm23563
Gm23564	Gm23564
Gm23566	Gm23566
Gm23567	Gm23567
Gm23573	Gm23573
Gm23578	Gm23578
Gm23581	Gm23581
Gm23582	Gm23582
Gm23583	Gm23583
Gm23584	Gm23584
Gm23585	Gm23585
Gm23586	Gm23586
Gm23587	Gm23587
Gm23588	Gm23588
Gm23589	Gm23589
Gm23590	Gm23590
Gm23591	Gm23591
Gm23592	Gm23592
Gm23593	Gm23593
Gm23594	Gm23594
Gm23595	Gm23595
Gm23596	Gm23596
Gm23599	Gm23599
Gm23600	Gm23600
Gm23601	Gm23601
Gm23602	Gm23602
Gm23604	Gm23604
Gm23605	Gm23605
Gm23607	Gm23607
Gm23608	Gm23608
Gm23609	Gm23609
Gm23613	Gm23613
Gm23615	Gm23615
Gm23617	Gm23617
Gm23623	Gm23623
Gm23624	Gm23624
Gm23625	Gm23625
Gm23626	Gm23626
Gm23628	Gm23628
Gm23630	Gm23630
Gm23631	Gm23631
Gm23633	Gm23633
Gm23634	Gm23634
Gm23636	Gm23636
Gm23637	Gm23637
Gm23639	Gm23639
Gm23640	Gm23640
Gm23641	Gm23641
Gm23642	Gm23642
Gm23643	Gm23643
Gm23644	Gm23644
Gm23650	Gm23650
Gm23652	Gm23652
Gm23653	Gm23653
Gm23654	Gm23654
Gm23655	Gm23655
Gm23656	Gm23656
Gm23657	Gm23657
Gm2366	Gm2366
Gm23661	Gm23661
Gm23662	Gm23662
Gm23663	Gm23663
Gm23664	Gm23664
Gm23665	Gm23665
Gm23666	Gm23666
Gm23667	Gm23667
Gm23668	Gm23668
Gm23669	Gm23669
Gm23670	Gm23670
Gm23671	Gm23671
Gm23672	Gm23672
Gm23673	Gm23673
Gm23674	Gm23674
Gm23675	Gm23675
Gm23676	Gm23676
Gm23679	Gm23679
Gm23680	Gm23680
Gm23692	Gm23692
Gm23698	Gm23698
Gm23699	Gm23699
Gm23700	Gm23700
Gm23702	Gm23702
Gm23703	Gm23703
Gm23704	Gm23704
Gm23705	Gm23705
Gm23706	Gm23706
Gm23708	Gm23708
Gm23709	Gm23709
Gm23715	Gm23715
Gm23716	Gm23716
Gm23718	Gm23718
Gm23722	Gm23722
Gm23723	Gm23723
Gm23726	Gm23726
Gm23727	Gm23727
Gm23734	Gm23734
Gm23735	Gm23735
Gm23737	Gm23737
Gm23738	Gm23738
Gm23740	Gm23740
Gm23741	Gm23741
Gm23743	Gm23743
Gm23744	Gm23744
Gm23745	Gm23745
Gm23746	Gm23746
Gm23747	Gm23747
Gm23748	Gm23748
Gm23749	Gm23749
Gm23750	Gm23750
Gm23751	Gm23751
Gm23752	Gm23752
Gm23753	Gm23753
Gm23754	Gm23754
Gm23755	Gm23755
Gm23756	Gm23756
Gm23757	Gm23757
Gm23758	Gm23758
Gm23759	Gm23759
Gm23760	Gm23760
Gm23761	Gm23761
Gm23762	Gm23762
Gm23763	Gm23763
Gm23764	Gm23764
Gm23765	Gm23765
Gm23766	Gm23766
Gm23768	Gm23768
Gm23769	Gm23769
Gm23772	Gm23772
Gm23773	Gm23773
Gm23774	Gm23774
Gm23775	Gm23775
Gm23776	Gm23776
Gm23777	Gm23777
Gm23779	Gm23779
Gm23780	Gm23780
Gm23781	Gm23781
Gm23782	Gm23782
Gm23783	Gm23783
Gm23785	Gm23785
Gm23786	Gm23786
Gm23787	Gm23787
Gm23788	Gm23788
Gm23789	Gm23789
Gm23791	Gm23791
Gm23792	Gm23792
Gm23793	Gm23793
Gm23794	Gm23794
Gm23795	Gm23795
Gm23796	Gm23796
Gm23799	Gm23799
Gm23800	Gm23800
Gm23801	Gm23801
Gm23803	Gm23803
Gm2381	Gm2381
Gm23810	Gm23810
Gm23811	Gm23811
Gm23813	Gm23813
Gm23816	Gm23816
Gm23817	Gm23817
Gm23819	Gm23819
Gm23820	Gm23820
Gm23821	Gm23821
Gm23822	Gm23822
Gm23823	Gm23823
Gm23824	Gm23824
Gm23827	Gm23827
Gm23829	Gm23829
Gm23830	Gm23830
Gm23831	Gm23831
Gm23833	Gm23833
Gm23835	Gm23835
Gm23836	Gm23836
Gm23837	Gm23837
Gm23838	Gm23838
Gm23839	Gm23839
Gm23841	Gm23841
Gm23845	Gm23845
Gm23848	Gm23848
Gm23850	Gm23850
Gm23851	Gm23851
Gm23852	Gm23852
Gm23853	Gm23853
Gm23854	Gm23854
Gm23855	Gm23855
Gm23856	Gm23856
Gm23857	Gm23857
Gm23858	Gm23858
Gm23859	Gm23859
Gm23860	Gm23860
Gm23864	Gm23864
Gm23865	Gm23865
Gm23867	Gm23867
Gm23873	Gm23873
Gm23875	Gm23875
Gm23876	Gm23876
Gm23877	Gm23877
Gm23879	Gm23879
Gm23880	Gm23880
Gm23881	Gm23881
Gm23882	Gm23882
Gm23883	Gm23883
Gm23884	Gm23884
Gm23885	Gm23885
Gm23886	Gm23886
Gm23887	Gm23887
Gm23888	Gm23888
Gm23889	Gm23889
Gm23891	Gm23891
Gm23892	Gm23892
Gm23893	Gm23893
Gm23894	Gm23894
Gm23895	Gm23895
Gm23896	Gm23896
Gm23897	Gm23897
Gm23898	Gm23898
Gm23899	Gm23899
Gm23900	Gm23900
Gm23901	Gm23901
Gm23902	Gm23902
Gm23903	Gm23903
Gm23904	Gm23904
Gm23905	Gm23905
Gm23906	Gm23906
Gm23907	Gm23907
Gm23908	Gm23908
Gm23909	Gm23909
Gm23911	Gm23911
Gm23912	Gm23912
Gm23916	Gm23916
Gm23917	Gm23917
Gm23918	Gm23918
Gm23921	Gm23921
Gm23927	Gm23927
Gm23928	Gm23928
Gm23935	Gm23935
Gm23939	Gm23939
Gm23940	Gm23940
Gm23945	Gm23945
Gm23946	Gm23946
Gm23949	Gm23949
Gm23950	Gm23950
Gm23951	Gm23951
Gm23954	Gm23954
Gm23955	Gm23955
Gm23956	Gm23956
Gm23957	Gm23957
Gm23958	Gm23958
Gm23959	Gm23959
Gm23960	Gm23960
Gm23961	Gm23961
Gm23963	Gm23963
Gm23965	Gm23965
Gm23967	Gm23967
Gm23969	Gm23969
Gm23970	Gm23970
Gm23972	Gm23972
Gm23973	Gm23973
Gm23974	Gm23974
Gm23975	Gm23975
Gm23979	Gm23979
Gm23980	Gm23980
Gm23981	Gm23981
Gm23982	Gm23982
Gm23983	Gm23983
Gm23984	Gm23984
Gm23985	Gm23985
Gm23986	Gm23986
Gm23987	Gm23987
Gm23989	Gm23989
Gm2399	Gm2399
Gm23990	Gm23990
Gm23991	Gm23991
Gm23993	Gm23993
Gm23994	Gm23994
Gm23995	Gm23995
Gm23996	Gm23996
Gm23997	Gm23997
Gm23999	Gm23999
Gm24000	Gm24000
Gm24001	Gm24001
Gm24002	Gm24002
Gm24003	Gm24003
Gm24004	Gm24004
Gm24005	Gm24005
Gm24006	Gm24006
Gm24008	Gm24008
Gm24009	Gm24009
Gm24010	Gm24010
Gm24011	Gm24011
Gm24013	Gm24013
Gm24014	Gm24014
Gm24015	Gm24015
Gm24016	Gm24016
Gm24025	Gm24025
Gm24026	Gm24026
Gm24030	Gm24030
Gm24031	Gm24031
Gm24032	Gm24032
Gm24035	Gm24035
Gm24036	Gm24036
Gm24037	Gm24037
Gm24038	Gm24038
Gm24039	Gm24039
Gm24041	Gm24041
Gm24042	Gm24042
Gm24043	Gm24043
Gm24044	Gm24044
Gm24045	Gm24045
Gm24047	Gm24047
Gm24048	Gm24048
Gm24049	Gm24049
Gm24050	Gm24050
Gm24051	Gm24051
Gm24053	Gm24053
Gm24054	Gm24054
Gm24056	Gm24056
Gm24057	Gm24057
Gm24059	Gm24059
Gm24060	Gm24060
Gm24061	Gm24061
Gm24062	Gm24062
Gm24063	Gm24063
Gm24064	Gm24064
Gm24067	Gm24067
Gm24068	Gm24068
Gm24069	Gm24069
Gm24070	Gm24070
Gm24071	Gm24071
Gm24073	Gm24073
Gm24074	Gm24074
Gm24075	Gm24075
Gm24076	Gm24076
Gm24078	Gm24078
Gm24079	Gm24079
Gm24080	Gm24080
Gm24082	Gm24082
Gm24083	Gm24083
Gm24084	Gm24084
Gm24085	Gm24085
Gm24099	Gm24099
Gm24103	Gm24103
Gm24105	Gm24105
Gm24106	Gm24106
Gm24108	Gm24108
Gm24109	Gm24109
Gm24111	Gm24111
Gm24112	Gm24112
Gm24113	Gm24113
Gm24116	Gm24116
Gm24117	Gm24117
Gm24118	Gm24118
Gm24119	Gm24119
Gm24120	Gm24120
Gm24122	Gm24122
Gm24123	Gm24123
Gm24124	Gm24124
Gm24125	Gm24125
Gm24126	Gm24126
Gm24127	Gm24127
Gm24128	Gm24128
Gm24129	Gm24129
Gm24130	Gm24130
Gm24131	Gm24131
Gm24132	Gm24132
Gm24133	Gm24133
Gm24134	Gm24134
Gm24138	Gm24138
Gm24139	Gm24139
Gm24140	Gm24140
Gm24141	Gm24141
Gm24143	Gm24143
Gm24145	Gm24145
Gm24146	Gm24146
Gm24148	Gm24148
Gm2415	Gm2415
Gm24150	Gm24150
Gm24152	Gm24152
Gm24154	Gm24154
Gm24155	Gm24155
Gm24157	Gm24157
Gm24158	Gm24158
Gm24160	Gm24160
Gm24161	Gm24161
Gm24163	Gm24163
Gm24164	Gm24164
Gm24165	Gm24165
Gm24166	Gm24166
Gm24170	Gm24170
Gm24171	Gm24171
Gm24172	Gm24172
Gm24173	Gm24173
Gm24174	Gm24174
Gm24175	Gm24175
Gm24176	Gm24176
Gm24177	Gm24177
Gm24178	Gm24178
Gm24179	Gm24179
Gm24183	Gm24183
Gm24184	Gm24184
Gm24185	Gm24185
Gm24186	Gm24186
Gm24187	Gm24187
Gm24188	Gm24188
Gm24189	Gm24189
Gm24190	Gm24190
Gm24191	Gm24191
Gm24192	Gm24192
Gm24193	Gm24193
Gm24194	Gm24194
Gm24195	Gm24195
Gm24197	Gm24197
Gm24198	Gm24198
Gm24200	Gm24200
Gm24201	Gm24201
Gm24203	Gm24203
Gm24207	Gm24207
Gm24208	Gm24208
Gm24210	Gm24210
Gm24211	Gm24211
Gm24212	Gm24212
Gm24213	Gm24213
Gm24216	Gm24216
Gm24217	Gm24217
Gm24221	Gm24221
Gm24222	Gm24222
Gm24223	Gm24223
Gm24224	Gm24224
Gm24225	Gm24225
Gm24226	Gm24226
Gm24228	Gm24228
Gm24229	Gm24229
Gm24230	Gm24230
Gm24231	Gm24231
Gm24232	Gm24232
Gm24233	Gm24233
Gm24234	Gm24234
Gm24235	Gm24235
Gm24236	Gm24236
Gm24237	Gm24237
Gm24238	Gm24238
Gm24239	Gm24239
Gm24240	Gm24240
Gm24241	Gm24241
Gm24244	Gm24244
Gm24245	Gm24245
Gm24246	Gm24246
Gm24248	Gm24248
Gm24249	Gm24249
Gm24250	Gm24250
Gm24251	Gm24251
Gm24252	Gm24252
Gm24254	Gm24254
Gm24255	Gm24255
Gm24256	Gm24256
Gm24257	Gm24257
Gm24258	Gm24258
Gm24262	Gm24262
Gm24263	Gm24263
Gm24269	Gm24269
Gm24270	Gm24270
Gm24271	Gm24271
Gm24272	Gm24272
Gm24273	Gm24273
Gm24274	Gm24274
Gm24275	Gm24275
Gm24276	Gm24276
Gm24277	Gm24277
Gm24278	Gm24278
Gm24279	Gm24279
Gm24280	Gm24280
Gm24281	Gm24281
Gm24282	Gm24282
Gm24283	Gm24283
Gm24284	Gm24284
Gm24285	Gm24285
Gm24286	Gm24286
Gm24288	Gm24288
Gm24289	Gm24289
Gm24290	Gm24290
Gm24291	Gm24291
Gm24294	Gm24294
Gm24295	Gm24295
Gm24296	Gm24296
Gm24297	Gm24297
Gm24298	Gm24298
Gm24299	Gm24299
Gm24304	Gm24304
Gm24308	Gm24308
Gm24313	Gm24313
Gm24318	Gm24318
Gm24321	Gm24321
Gm24322	Gm24322
Gm24323	Gm24323
Gm24325	Gm24325
