"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster"
"GO:00508631","GO:0050863","regulation of T cell activation","8/79","298/15217",0.000153922993711812,0.00445066698839047,0.0029319486260223,"VSIG4/HLA-DRB1/LGALS9/CD83/GPNMB/HLA-DRA/GSN/HLA-DQB1",8,"6"
"GO:0016485","GO:0016485","protein processing","7/79","228/15217",0.000179405161168749,0.0050794086255902,0.00334614231521976,"SERPINE1/C1QA/C1QB/C3AR1/GSN/C5AR1/CPM",7,"6"
"GO:0006826","GO:0006826","iron ion transport","4/79","55/15217",0.000187683216526078,0.00525899981977196,0.0034644509095047,"SLC11A1/SLC25A37/FTL/B2M",4,"6"
"GO:00310992","GO:0031099","regeneration","6/79","163/15217",0.00020082281753364,0.00556975936792279,0.00366916877147929,"SPP1/APOE/GPX1/LCP1/GSN/C5AR1",6,"6"
"GO:00420601","GO:0042060","wound healing","10/79","492/15217",0.000222096825297409,0.00597682347681543,0.00393732881532979,"SLC11A1/SERPINE1/EDN1/CD9/APOE/GPX1/FCER1G/GSN/TGFBR1/PDPN",10,"6"
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","7/79","240/15217",0.000245612583390858,0.00648131069569273,0.00426966790340163,"LGALS9/TREM2/CCL4/CCL3L3/SPRY1/GPNMB/C5AR1",7,"6"
"GO:00026974","GO:0002697","regulation of immune effector process","8/79","321/15217",0.000255302457325398,0.00656921650183118,0.00432757727028962,"LGALS9/C1QA/SEC14L1/B2M/C1QB/C3AR1/FCER1G/C5AR1",8,"6"
"GO:00517021","GO:0051702","interaction with symbiont","4/79","63/15217",0.000317657784241961,0.007849035068815,0.00517067838273278,"CCL4/APOE/GPX1/GAPDH",4,"6"
"GO:19059522","GO:1905952","regulation of lipid localization","5/79","119/15217",0.000381894020089416,0.00894817195347441,0.0058947525242477,"SPP1/LPL/EDN1/APOC1/APOE",5,"6"
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","6/79","184/15217",0.000385379031529254,0.00895265134783344,0.00589770339749223,"LPL/SLC1A3/PDK4/EDN1/APOC1/CH25H",6,"6"
"GO:00343411","GO:0034341","response to interferon-gamma","14/55","150/15217",1.35831059221872e-16,2.59573154172998e-13,1.66571772624717e-13,"HLA-DRB1/HLA-B/HLA-DPA1/LGALS9/CCL4/HLA-DPB1/CCL3L3/SLC11A1/HLA-DRA/B2M/HLA-C/HLA-A/HLA-DQB1/GAPDH",14,"7"
"GO:00480022","GO:0048002","antigen processing and presentation of peptide antigen","12/55","181/15217",1.56267971269507e-12,9.95426976986762e-10,6.38779601856056e-10,"HLA-DRB1/HLA-B/HLA-DPA1/TREM2/HLA-DPB1/SLC11A1/HLA-DRA/B2M/HLA-C/HLA-A/CTSD/HLA-DQB1",12,"7"
"GO:00421104","GO:0042110","T cell activation","12/55","429/15217",3.16508811495682e-08,6.72053709742498e-06,4.31266392271894e-06,"HLA-DRB1/HLA-DPA1/LGALS9/HLA-DPB1/MAFB/CD83/SLC11A1/HLA-DRA/B2M/VSIG4/LCP1/HLA-DQB1",12,"7"
"GO:00069593","GO:0006959","humoral immune response","8/55","183/15217",2.82101851948521e-07,4.4924719922802e-05,2.88288296070199e-05,"C1QA/TREM2/CD83/SLC11A1/C1QB/VSIG4/HLA-DQB1/GAPDH",8,"7"
"GO:00018194","GO:0001819","positive regulation of cytokine production","10/55","382/15217",9.44028706730139e-07,0.00013877221988933,8.90521006753532e-05,"SERPINE1/HLA-DPA1/LGALS9/HLA-DPB1/CD83/SLC11A1/B2M/GAPDH/LPL/SEC14L1",10,"7"
"GO:00312951","GO:0031295","T cell costimulation","5/55","68/15217",4.49050421081897e-06,0.00053633459667969,0.000344173513526585,"HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DRA/HLA-DQB1",5,"7"
"GO:19030391","GO:1903039","positive regulation of leukocyte cell-cell adhesion","7/55","208/15217",9.37750124569446e-06,0.000943179204238006,0.000605251465442329,"HLA-DRB1/HLA-DPA1/LGALS9/HLA-DPB1/CD83/HLA-DRA/HLA-DQB1",7,"7"
"GO:00025062","GO:0002506","polysaccharide assembly with MHC class II protein complex","2/55","2/15217",1.28270535879575e-05,0.00102135414194112,0.000655417431139057,"HLA-DRB1/HLA-DRA",2,"7"
"GO:00071593","GO:0007159","leukocyte cell-cell adhesion","8/55","340/15217",2.78852002326694e-05,0.00197365250535671,0.00126652079029473,"HLA-DRB1/HLA-DPA1/LGALS9/HLA-DPB1/CD83/HLA-DRA/VSIG4/HLA-DQB1",8,"7"
"GO:00305951","GO:0030595","leukocyte chemotaxis","6/55","175/15217",3.85841978361483e-05,0.00254256558844412,0.00163160038036707,"PADI2/SERPINE1/LGALS9/CCL4/CCL3L3/CXCR4",6,"7"
"GO:00432991","GO:0043299","leukocyte degranulation","9/55","493/15217",6.16616421429401e-05,0.00361972472710179,0.00232282866896559,"PADI2/ASAH1/LGALS9/SLC11A1/FTL/EEF1A1/B2M/CTSD/SLC44A2",9,"7"
"GO:0034369","GO:0034369","plasma lipoprotein particle remodeling","3/55","23/15217",7.51762237599637e-05,0.00361972472710179,0.00232282866896559,"APOC1/APOE/LPL",3,"7"
"GO:00517022","GO:0051702","interaction with symbiont","4/55","63/15217",7.76602374731414e-05,0.00361972472710179,0.00232282866896559,"CCL4/APOE/GPX1/GAPDH",4,"7"
"GO:00024492","GO:0002449","lymphocyte mediated immunity","6/55","209/15217",0.000103380233647401,0.0045944099186089,0.00294829797305317,"LGALS9/C1QA/SLC11A1/B2M/C1QB/HLA-DQB1",6,"7"
"GO:00970061","GO:0097006","regulation of plasma lipoprotein particle levels","4/55","76/15217",0.000161551979314561,0.00656863473340693,0.00421518602242919,"APOC1/APOE/LIPA/LPL",4,"7"
"GO:00433121","GO:0043312","neutrophil degranulation","8/55","452/15217",0.000203595311988624,0.00774446347881863,0.0049697319963776,"PADI2/ASAH1/SLC11A1/FTL/EEF1A1/B2M/CTSD/SLC44A2",8,"7"
"GO:0006641","GO:0006641","triglyceride metabolic process","4/55","86/15217",0.00026034475023699,0.00881532233065342,0.00565691730161185,"APOC1/APOE/GPX1/LPL",4,"7"
"GO:0010873","GO:0010873","positive regulation of cholesterol esterification","2/55","7/15217",0.000266256390645028,0.00881532233065342,0.00565691730161185,"APOC1/APOE",2,"7"
"GO:00321022","GO:0032102","negative regulation of response to external stimulus","6/55","249/15217",0.000267834213999058,0.00881532233065342,0.00565691730161185,"PADI2/SERPINE1/SPP1/APOE/GPX1/SEC14L1",6,"7"
"GO:00509202","GO:0050920","regulation of chemotaxis","5/55","163/15217",0.000299417483317014,0.00938011164948875,0.00601935061370701,"PADI2/SERPINE1/LGALS9/CCL4/CXCR4",5,"7"
"GO:0002579","GO:0002579","positive regulation of antigen processing and presentation","2/55","8/15217",0.000354185093371719,0.00966925304904792,0.00620489674854214,"TREM2/SLC11A1",2,"7"
"GO:0015871","GO:0015871","choline transport","2/55","8/15217",0.000354185093371719,0.00966925304904792,0.00620489674854214,"SLC44A2/SEC14L1",2,"7"
"GO:00713472","GO:0071347","cellular response to interleukin-1","9/60","80/15217",2.2993138219548e-11,5.9115358362458e-08,3.14884977090863e-08,"CCL2/EGR1/CCL3L3/IL1A/CCL8/CCL4/KLF2/IRAK2/CEBPB",9,"8"
"GO:0010574","GO:0010574","regulation of vascular endothelial growth factor production","6/60","32/15217",2.43288660797276e-09,2.08498382303266e-06,1.11059139542897e-06,"IL1B/CCL2/IL1A/PTGS2/C3/C3AR1",6,"8"
"GO:0071674","GO:0071674","mononuclear cell migration","7/60","67/15217",7.46961091476398e-09,3.39198300981541e-06,1.80678003470689e-06,"CCL2/CCL3L3/CCL8/TNF/CCL4/C3AR1/PDGFB",7,"8"
"GO:0097529","GO:0097529","myeloid leukocyte migration","9/60","153/15217",7.91594634729384e-09,3.39198300981541e-06,1.80678003470689e-06,"IL1B/CCL2/CCL3L3/IL1A/CCL8/CX3CR1/CCL4/C3AR1/PDGFB",9,"8"
"GO:00316631","GO:0031663","lipopolysaccharide-mediated signaling pathway","6/60","49/15217",3.56477864139933e-08,8.33185989730698e-06,4.43806412675649e-06,"IL1B/CCL2/TNF/TRIB1/IRAK2/CD14",6,"8"
"GO:00025264","GO:0002526","acute inflammatory response","8/60","136/15217",5.7274710932258e-08,1.11512043058639e-05,5.93982140962104e-06,"IL1B/IL1A/TNF/PTGS2/C3/OSM/C3AR1/CEBPB",8,"8"
"GO:0002675","GO:0002675","positive regulation of acute inflammatory response","5/60","27/15217",6.07222327040429e-08,1.11512043058639e-05,5.93982140962104e-06,"IL1B/TNF/PTGS2/C3/OSM",5,"8"
"GO:00016602","GO:0001660","fever generation","4/60","11/15217",7.05848108971585e-08,1.15347528828262e-05,6.14412311431424e-06,"IL1B/IL1A/TNF/PTGS2",4,"8"
"GO:19040182","GO:1904018","positive regulation of vasculature development","8/60","140/15217",7.17837596753086e-08,1.15347528828262e-05,6.14412311431424e-06,"IL1B/EGR1/IL1A/PTGS2/C3/CX3CR1/C3AR1/PDGFB",8,"8"
"GO:0046890","GO:0046890","regulation of lipid biosynthetic process","8/60","155/15217",1.57934315085418e-07,2.13710065307689e-05,1.13835204391207e-05,"IL1B/EGR1/TNF/PTGS2/C3/PDK4/APOE/PDGFB",8,"8"
"GO:19010992","GO:1901099","negative regulation of signal transduction in absence of ligand","5/60","33/15217",1.75315130888143e-07,2.14635810244484e-05,1.14328313426303e-05,"IL1B/IL1A/TNF/CX3CR1/MCL1",5,"8"
"GO:00712161","GO:0071216","cellular response to biotic stimulus","8/60","180/15217",4.96695396004168e-07,4.56072808259542e-05,2.42932597820084e-05,"IL1B/CCL2/TNF/CX3CR1/TRIB1/IRAK2/CD14/CEBPB",8,"8"
"GO:00321033","GO:0032103","positive regulation of response to external stimulus","9/60","256/15217",6.55958314300406e-07,5.62156275355448e-05,2.99439216457834e-05,"IL1B/CCL2/TNF/PTGS2/C3/CCL4/OSM/C3AR1/PDGFB",9,"8"
"GO:20003791","GO:2000379","positive regulation of reactive oxygen species metabolic process","6/60","83/15217",8.67527373042633e-07,6.58195707744629e-05,3.50595760722128e-05,"IL1B/TNF/PTGS2/CDKN1A/KLF2/PDGFB",6,"8"
"GO:00096362","GO:0009636","response to toxic substance","8/60","197/15217",9.84194952937474e-07,7.02879228889512e-05,3.7439696893908e-05,"TNF/KDM6B/PTGS2/CST3/CCL4/CDKN1A/APOE/GPX1",8,"8"
"GO:00316222","GO:0031622","positive regulation of fever generation","3/60","7/15217",2.01702188095558e-06,0.000123470553712781,6.57680568201305e-05,"IL1B/TNF/PTGS2",3,"8"
"GO:00725931","GO:0072593","reactive oxygen species metabolic process","8/60","220/15217",2.25335340951812e-06,0.000131667536724343,7.01342771718438e-05,"IL1B/TNF/PTGS2/CDKN1A/PDK4/KLF2/GPX1/PDGFB",8,"8"
"GO:0030335","GO:0030335","positive regulation of cell migration","10/60","392/15217",2.74227237320702e-06,0.000153269179815549,8.16406489140122e-05,"IL1B/CCL2/IL1A/CCL8/TNF/PTGS2/CCL4/PDPN/C3AR1/PDGFB",10,"8"
"GO:00310993","GO:0031099","regeneration","7/60","163/15217",3.40961313727518e-06,0.00017532230751869,9.3387509296737e-05,"CCL2/CDKN1A/SPP1/APOE/GPX1/CEBPB/LCP1",7,"8"
"GO:00199151","GO:0019915","lipid storage","5/60","63/15217",4.7432712410349e-06,0.00022501871382253,0.000119858890328609,"IL1B/TNF/C3/APOE/NRIP1",5,"8"
"GO:00450802","GO:0045080","positive regulation of chemokine biosynthetic process","3/60","9/15217",4.81370255162938e-06,0.00022501871382253,0.000119858890328609,"IL1B/EGR1/TNF",3,"8"
"GO:00458073","GO:0045807","positive regulation of endocytosis","6/60","112/15217",5.03395149620358e-06,0.000231112308870347,0.000123104716100768,"IL1B/CCL2/TNF/C3/CD14/APOE",6,"8"
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","5/60","66/15217",5.97665401985331e-06,0.000269578552369173,0.000143594217540705,"CCL2/CCL3L3/CCL8/CX3CR1/CCL4",5,"8"
"GO:00435231","GO:0043523","regulation of neuron apoptotic process","7/60","182/15217",7.05761383898192e-06,0.000292663309355202,0.000155890587512996,"CCL2/BTG2/NR4A2/MCL1/APOE/GPX1/CEBPB",7,"8"
"GO:00712291","GO:0071229","cellular response to acid chemical","7/60","183/15217",7.31591353880558e-06,0.000298558947750304,0.000159030969323075,"CCL2/EGR1/TNF/PDK4/CEBPB/FOLR2/PDGFB",7,"8"
"GO:00434102","GO:0043410","positive regulation of MAPK cascade","10/60","459/15217",1.10276579290082e-05,0.000416763336636486,0.000221993940905267,"IL1B/CCL2/CCL3L3/CCL8/TNF/CCL4/IRAK2/OSM/GADD45B/PDGFB",10,"8"
"GO:00104692","GO:0010469","regulation of receptor activity","10/60","469/15217",1.32988585144102e-05,0.000468374866308884,0.000249485435144162,"IL1B/CCL2/CCL3L3/IL1A/CCL8/TNF/CCL4/OSM/SPP1/PDGFB",10,"8"
"GO:0071505","GO:0071505","response to mycophenolic acid","2/60","2/15217",1.52888113472625e-05,0.000524100452984158,0.000279168330705804,"EGR1/PDGFB",2,"8"
"GO:0002437","GO:0002437","inflammatory response to antigenic stimulus","4/60","39/15217",1.62004386057071e-05,0.000534183256895117,0.000284539055956334,"TNF/KDM6B/C3/GPX1",4,"8"
"GO:00069792","GO:0006979","response to oxidative stress","9/60","380/15217",1.64805606464574e-05,0.000536348372430909,0.00028569233046024,"NR4A2/TNF/KDM6B/PTGS2/CST3/MCL1/KLF2/APOE/GPX1",9,"8"
"GO:00069091","GO:0006909","phagocytosis","7/60","209/15217",1.73761286461985e-05,0.000549325024970113,0.000292604498551093,"IL1B/CCL2/TNF/C3/ACTB/ACTG1/CD14",7,"8"
"GO:00435341","GO:0043534","blood vessel endothelial cell migration","5/60","82/15217",1.73891366713362e-05,0.000549325024970113,0.000292604498551093,"EGR3/PTGS2/APOE/GPX1/PDGFB",5,"8"
"GO:00485142","GO:0048514","blood vessel morphogenesis","10/60","488/15217",1.87437037362461e-05,0.000560349561696381,0.000298476848970088,"IL1B/CCL2/EGR3/IL1A/PTGS2/C3/CX3CR1/APOE/GPX1/C3AR1",10,"8"
"GO:00510442","GO:0051044","positive regulation of membrane protein ectodomain proteolysis","3/60","14/15217",2.05682700682193e-05,0.000607827843050482,0.000323766719404154,"IL1B/TNF/APOE",3,"8"
"GO:00714171","GO:0071417","cellular response to organonitrogen compound","10/60","498/15217",2.23132924645309e-05,0.000651903124162602,0.000347243941343956,"IL1B/CCL2/EGR1/NR4A2/TNF/PTGS2/PDK4/KLF2/CEBPB/FOLR2",10,"8"
"GO:00076111","GO:0007611","learning or memory","7/60","218/15217",2.28040850494448e-05,0.000658756209686771,0.000350894318738352,"BTG2/EGR2/PTGS2/CX3CR1/SGK1/APOE/CEBPB",7,"8"
"GO:00011011","GO:0001101","response to acid chemical","8/60","303/15217",2.3454322203138e-05,0.000670011804269641,0.000356889744868801,"CCL2/EGR1/TNF/PTGS2/PDK4/CEBPB/FOLR2/PDGFB",8,"8"
"GO:00454461","GO:0045446","endothelial cell differentiation","5/60","90/15217",2.73428797163113e-05,0.000747856848411025,0.000398354832149172,"IL1B/TNF/KDM6B/PDPN/GPX1",5,"8"
"GO:00075661","GO:0007566","embryo implantation","4/60","46/15217",3.14864777512491e-05,0.000826038105086342,0.000439999007028734,"IL1B/PTGS2/CST3/SPP1",4,"8"
"GO:00094082","GO:0009408","response to heat","6/60","156/15217",3.34244404753787e-05,0.000859342364621987,0.000457738916404924,"CCL2/IL1A/PTGS2/CDKN1A/OSM/CD14",6,"8"
"GO:0001936","GO:0001936","regulation of endothelial cell proliferation","5/60","95/15217",3.55092468465836e-05,0.000903903699431351,0.000481475040619127,"CCL2/EGR3/TNF/APOE/PDGFB",5,"8"
"GO:0009991","GO:0009991","response to extracellular stimulus","9/60","422/15217",3.76010307540703e-05,0.000929540866045333,0.000495130981893172,"CCL2/NR4A2/PTGS2/CST3/CDKN1A/PDK4/SPP1/APOE/FOLR2",9,"8"
"GO:00224091","GO:0022409","positive regulation of cell-cell adhesion","7/60","238/15217",3.9983597751555e-05,0.000979026950659504,0.000521490332579179,"IL1B/CCL2/CD83/TNF/CITED2/PDPN/HLA-DQB1",7,"8"
"GO:00461362","GO:0046136","positive regulation of vitamin metabolic process","2/60","3/15217",4.57498713000009e-05,0.00106929926465729,0.000569574952739724,"IL1B/TNF",2,"8"
"GO:00321023","GO:0032102","negative regulation of response to external stimulus","7/60","249/15217",5.32543383844419e-05,0.00120102547356491,0.000639740482346805,"CCL2/CX3CR1/TRIB1/SPP1/APOE/GPX1/PDGFB",7,"8"
"GO:00345992","GO:0034599","cellular response to oxidative stress","7/60","253/15217",5.88953146421375e-05,0.00127243574743643,0.00067777801282106,"NR4A2/TNF/KDM6B/CST3/MCL1/KLF2/GPX1",7,"8"
"GO:00103322","GO:0010332","response to gamma radiation","4/60","54/15217",5.96021905465657e-05,0.00127670608717294,0.000680052659997952,"CCL2/EGR1/CDKN1A/GPX1",4,"8"
"GO:19016521","GO:1901652","response to peptide","9/60","450/15217",6.18707492301896e-05,0.00129374026803463,0.000689126118738584,"IL1B/CCL2/EGR1/BTG2/NR4A2/EGR2/PTGS2/PDK4/KLF2",9,"8"
"GO:00069594","GO:0006959","humoral immune response","6/60","183/15217",8.14040667046973e-05,0.00157360793607351,0.000838200955938355,"CCL2/CD83/TNF/C3/C3AR1/HLA-DQB1",6,"8"
"GO:00454441","GO:0045444","fat cell differentiation","6/60","190/15217",0.000100127221930461,0.00185199343585047,0.000986486298610599,"NR4A2/EGR2/TNF/PTGS2/GPX1/CEBPB",6,"8"
"GO:00508652","GO:0050865","regulation of cell activation","9/60","480/15217",0.000101418022881873,0.00185284885154279,0.000986941945938368,"IL1B/CCL2/CD83/CDKN1A/PDPN/APOE/CEBPB/HLA-DQB1/PDGFB",9,"8"
"GO:00485452","GO:0048545","response to steroid hormone","8/60","373/15217",0.000101614814495345,0.00185284885154279,0.000986941945938368,"CCL2/NR4A2/TNF/PTGS2/CDKN1A/EIF4E/SPP1/NRIP1",8,"8"
"GO:0006809","GO:0006809","nitric oxide biosynthetic process","4/60","62/15217",0.000102691943252602,0.00185930271903127,0.000990379675104783,"IL1B/TNF/PTGS2/KLF2",4,"8"
"GO:19059523","GO:1905952","regulation of lipid localization","5/60","119/15217",0.000104136868170127,0.00187227893752026,0.000997291611993639,"IL1B/TNF/C3/SPP1/APOE",5,"8"
"GO:00003021","GO:0000302","response to reactive oxygen species","6/60","194/15217",0.000112273743017047,0.00199072960894363,0.00106038576889421,"TNF/KDM6B/CST3/KLF2/APOE/GPX1",6,"8"
"GO:00335552","GO:0033555","multicellular organismal response to stress","4/60","65/15217",0.000123540945453913,0.00214610655920277,0.00114314914676772,"NR4A2/EIF4E/OSM/APOE",4,"8"
"GO:00517811","GO:0051781","positive regulation of cell division","4/60","69/15217",0.00015590562741231,0.00252096457910095,0.00134282172302824,"IL1B/IL1A/OSM/PDGFB",4,"8"
"GO:00713462","GO:0071346","cellular response to interferon-gamma","5/60","130/15217",0.000157904603962307,0.00253732960491932,0.0013515387483879,"CCL2/CCL3L3/CCL8/CCL4/HLA-DQB1",5,"8"
"GO:00331982","GO:0033198","response to ATP","3/60","27/15217",0.000159357536263527,0.00254477158840701,0.00135550280927655,"IL1B/CCL2/PTGS2",3,"8"
"GO:1905954","GO:1905954","positive regulation of lipid localization","4/60","73/15217",0.000193998351061892,0.00300463711192847,0.00160045564192468,"IL1B/C3/SPP1/APOE",4,"8"
"GO:0010543","GO:0010543","regulation of platelet activation","3/60","31/15217",0.000242161658961761,0.00359883020341437,0.00191695964897627,"PDPN/APOE/PDGFB",3,"8"
"GO:19030342","GO:1903034","regulation of response to wounding","5/60","146/15217",0.000271215457687891,0.00398454252408896,0.00212241389745532,"CCL2/PDPN/SPP1/APOE/PDGFB",5,"8"
"GO:00226171","GO:0022617","extracellular matrix disassembly","4/60","80/15217",0.000276165625706771,0.00398888664995566,0.00212472784769077,"CST3/PDPN/SPP1/LCP1",4,"8"
"GO:00988691","GO:0098869","cellular oxidant detoxification","4/60","80/15217",0.000276165625706771,0.00398888664995566,0.00212472784769077,"TNF/PTGS2/APOE/GPX1",4,"8"
"GO:19016551","GO:1901655","cellular response to ketone","4/60","82/15217",0.000303623748312445,0.00436098691011898,0.00232293147047628,"CCL2/KLF2/EIF4E/SPP1",4,"8"
"GO:2000501","GO:2000501","regulation of natural killer cell chemotaxis","2/60","7/15217",0.000317008202087211,0.00440555723008767,0.00234667238074231,"CCL2/CCL4",2,"8"
"GO:00344051","GO:0034405","response to fluid shear stress","3/60","34/15217",0.000319680230200146,0.00441880576260525,0.0023537293689326,"PTGS2/CITED2/KLF2",3,"8"
"GO:0030168","GO:0030168","platelet activation","5/60","152/15217",0.000326695710665749,0.00449162926268257,0.00239251967112941,"PDPN/ACTB/ACTG1/APOE/PDGFB",5,"8"
"GO:00457872","GO:0045787","positive regulation of cell cycle","7/60","340/15217",0.000365112445022535,0.00494054787448914,0.00263164150124276,"IL1B/BTG2/IL1A/CDKN1A/CITED2/EIF4E/PDGFB",7,"8"
"GO:1905517","GO:1905517","macrophage migration","3/60","36/15217",0.000379305321015668,0.00510572764571352,0.00271962646812557,"CCL2/CX3CR1/C3AR1",3,"8"
"GO:00507071","GO:0050707","regulation of cytokine secretion","5/60","160/15217",0.0004135751028833,0.00544696554585287,0.00290139088831075,"IL1B/SRGN/IL1A/TNF/CD14",5,"8"
"GO:00352342","GO:0035234","ectopic germ cell programmed cell death","2/60","8/15217",0.000421604878889428,0.00544696554585287,0.00290139088831075,"IL1B/IL1A",2,"8"
"GO:1900272","GO:1900272","negative regulation of long-term synaptic potentiation","2/60","8/15217",0.000421604878889428,0.00544696554585287,0.00290139088831075,"CX3CR1/APOE",2,"8"
"GO:0010035","GO:0010035","response to inorganic substance","8/60","463/15217",0.00044118893690252,0.00561533047909099,0.00299107246956842,"IL1A/TNF/KDM6B/PTGS2/CST3/KLF2/CD14/GPX1",8,"8"
"GO:00704822","GO:0070482","response to oxygen levels","7/60","352/15217",0.000449640970023619,0.00569471396024987,0.00303335702359724,"CCL2/EGR1/NR4A2/PTGS2/CST3/CDKN1A/CITED2",7,"8"
"GO:00024551","GO:0002455","humoral immune response mediated by circulating immunoglobulin","3/60","41/15217",0.0005584280990878,0.0066162149435702,0.00352420546647212,"TNF/C3/HLA-DQB1",3,"8"
"GO:0007565","GO:0007565","female pregnancy","5/60","177/15217",0.000655130910407124,0.00758712419214737,0.00404137180862811,"IL1B/CCL2/PTGS2/CST3/SPP1",5,"8"
"GO:19016541","GO:1901654","response to ketone","5/60","177/15217",0.000655130910407124,0.00758712419214737,0.00404137180862811,"CCL2/CDKN1A/KLF2/EIF4E/SPP1",5,"8"
"GO:00420602","GO:0042060","wound healing","8/60","492/15217",0.000658665952932993,0.00759385724211088,0.00404495824765553,"CCL2/IL1A/PDPN/ACTB/ACTG1/APOE/GPX1/PDGFB",8,"8"
"GO:0071803","GO:0071803","positive regulation of podosome assembly","2/60","10/15217",0.000674145737487396,0.00766915350035441,0.00408506569385702,"TNF/LCP1",2,"8"
"GO:00714961","GO:0071496","cellular response to external stimulus","6/60","275/15217",0.000728797044116422,0.00821814561589176,0.00437749286424499,"IL1B/NR4A2/PTGS2/CDKN1A/PDK4/FOLR2",6,"8"
"GO:0043618","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","4/60","108/15217",0.000862069306493257,0.00935181513499647,0.00498135539750268,"EGR1/CITED2/KLF2/CEBPB",4,"8"
"GO:0045840","GO:0045840","positive regulation of mitotic nuclear division","3/60","48/15217",0.000888484945187839,0.00959787728604174,0.00511242332458814,"IL1B/IL1A/PDGFB",3,"8"
"GO:0048660","GO:0048660","regulation of smooth muscle cell proliferation","4/60","111/15217",0.00095497684484719,0.00991840852330711,0.005283158094873,"TNF/PTGS2/TRIB1/PDGFB",4,"8"
"GO:00485111","GO:0048511","rhythmic process","6/60","290/15217",0.000960417876871271,0.00991840852330711,0.005283158094873,"EGR3/EGR1/EGR2/CST3/CEBPB/NRIP1",6,"8"
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","6/60","290/15217",0.000960417876871271,0.00991840852330711,0.005283158094873,"IL1B/CCL2/EGR2/PTGS2/CX3CR1/APOE",6,"8"
"GO:0048608","GO:0048608","reproductive structure development","7/60","401/15217",0.000971023448963888,0.00991840852330711,0.005283158094873,"PTGS2/CST3/CITED2/SPP1/CEBPB/PDGFB/NRIP1",7,"8"
"GO:0030213","GO:0030213","hyaluronan biosynthetic process","2/60","12/15217",0.0009837394684727,0.00991840852330711,0.005283158094873,"IL1B/PDGFB",2,"8"
"GO:00713463","GO:0071346","cellular response to interferon-gamma","11/59","130/15217",2.2765362386511e-12,5.89850539434499e-09,2.97387523385896e-09,"CCL4/CCL3L3/CCL2/CCL8/HLA-DPA1/HLA-DRA/HLA-DRB1/EDN1/HLA-DPB1/HLA-DQB1/GBP2",11,"9"
"GO:00305952","GO:0030595","leukocyte chemotaxis","11/59","175/15217",5.88781786791512e-11,4.80805442993803e-08,2.42409780720839e-08,"CCL4/CCL3L3/CCL2/CH25H/CCL8/SERPINE1/CXCR4/IL1B/EDN1/PADI2/C3AR1",11,"9"
"GO:0060326","GO:0060326","cell chemotaxis","12/59","233/15217",7.4227007795261e-11,4.80805442993803e-08,2.42409780720839e-08,"CCL4/CCL3L3/CCL2/EGR3/CH25H/CCL8/SERPINE1/CXCR4/IL1B/EDN1/PADI2/C3AR1",12,"9"
"GO:00713473","GO:0071347","cellular response to interleukin-1","8/59","80/15217",7.28355269543529e-10,3.77433700677457e-07,1.90292397790215e-07,"CCL4/CCL3L3/CCL2/EGR1/CCL8/IL1A/EDN1/IRAK2",8,"9"
"GO:00018195","GO:0001819","positive regulation of cytokine production","13/59","382/15217",1.82624284974505e-09,5.91474402961177e-07,2.98206233754422e-07,"CCL2/EGR1/PTGS2/CD83/SERPINE1/TNF/HLA-DPA1/IL1B/IL1A/NR4A3/HLA-DPB1/CD14/C3AR1",13,"9"
"GO:0002685","GO:0002685","regulation of leukocyte migration","9/59","152/15217",6.40613719108944e-09,1.17221989316481e-06,5.91003224691759e-07,"CCL4/CCL2/CCL8/SERPINE1/TNF/IL1A/EDN1/PADI2/C3AR1",9,"9"
"GO:19030392","GO:1903039","positive regulation of leukocyte cell-cell adhesion","10/59","208/15217",6.43029342160260e-09,1.17221989316481e-06,5.91003224691759e-07,"CCL2/CD83/TNF/HLA-DPA1/HLA-DRA/HLA-DRB1/IL1B/NR4A3/HLA-DPB1/HLA-DQB1",10,"9"
"GO:00316632","GO:0031663","lipopolysaccharide-mediated signaling pathway","6/59","49/15217",3.21609607277888e-08,4.16645246228504e-06,2.10061854016768e-06,"CCL2/TNF/IL1B/IRAK2/CD14/NFKBIA",6,"9"
"GO:00016603","GO:0001660","fever generation","4/59","11/15217",6.59034689511018e-08,7.76163127510476e-06,3.91321554872332e-06,"PTGS2/TNF/IL1B/IL1A",4,"9"
"GO:00026961","GO:0002696","positive regulation of leukocyte activation","10/59","285/15217",1.26830181103841e-07,1.42876956191326e-05,7.20348991990234e-06,"CCL2/CD83/CDKN1A/HLA-DPA1/HLA-DRA/HLA-DRB1/IL1B/NR4A3/HLA-DPB1/HLA-DQB1",10,"9"
"GO:00105732","GO:0010573","vascular endothelial growth factor production","5/59","34/15217",1.88145260862771e-07,1.87493988805938e-05,9.45296634537243e-06,"CCL2/PTGS2/IL1B/IL1A/C3AR1",5,"9"
