5S_rRNA__chr2	5S_rRNA__chr2|RNA5SP100__chr2
RP1-28H20.3__chr20	RP1-28H20.3__chr20
RP1-28O10.1__chr1	RP1-28O10.1__chr1
RP1-28O17.1__chr6	RP1-28O17.1__chr6
RP1-290I10.3__chr6	RP1-290I10.3__chr6
RP1-290I10.5__chr6	RP1-290I10.5__chr6
RP1-292B18.3__chr6	RP1-292B18.3__chr6
RP1-292B18.4__chr6	RP1-292B18.4__chr6
RP1-292L20.3__chr14	RP1-292L20.3__chr14
RP1-293L6.1__chr22	RP1-293L6.1__chr22
RP1-293L8.2__chr6	RP1-293L8.2__chr6
RP1-296L11.1__chr11	RP1-296L11.1__chr11
RP1-297M16.2__chr6	RP1-297M16.2__chr6
RP1-29C18.10__chr22	RP1-29C18.10__chr22
RP1-29C18.8__chr22	RP1-29C18.8__chr22
RP1-29C18.9__chr22	RP1-29C18.9__chr22
RP1-29G21.1__chr17	RP1-29G21.1__chr17
RP1-300G12.2__chr6	RP1-300G12.2__chr6
RP1-302D9.1__chr22	RP1-302D9.1__chr22
RP1-302D9.2__chr22	RP1-302D9.2__chr22
RP1-302D9.3__chr22	RP1-302D9.3__chr22
RP1-302G2.5__chr6	RP1-302G2.5__chr6
RP1-309F20.3__chr20	RP1-309F20.3__chr20
RP1-309F20.4__chr20	RP1-309F20.4__chr20
RP1-309H15.2__chr6	RP1-309H15.2__chr6
RP1-309K20.6__chr20	RP1-309K20.6__chr20
RP1-30E17.2__chrX	RP1-30E17.2__chrX
RP1-30M3.5__chr6	RP1-30M3.5__chr6
RP1-30M3.6__chr6	RP1-30M3.6__chr6
RP1-310O13.13__chr20	RP1-310O13.13__chr20
RP1-310O13.7__chr20	RP1-310O13.7__chr20
RP1-313I6.12__chr6	RP1-313I6.12__chr6
RP1-313L4.3__chr1	RP1-313L4.3__chr1
RP1-315G1.3__chrX	RP1-315G1.3__chrX
RP1-317E23.3__chr1	RP1-317E23.3__chr1
RP1-317E23.6__chr1	RP1-317E23.6__chr1
RP1-317E23.7__chr1	RP1-317E23.7__chr1
RP1-321E8.5__chrX	RP1-321E8.5__chrX
RP1-32B1.4__chr6	RP1-32B1.4__chr6
RP1-32I10.10__chr22	RP1-32I10.10__chr22
RP1-34B20.21__chr6	RP1-34B20.21__chr6
RP1-34H18.1__chr12	RP1-34H18.1__chr12
RP1-34M23.5__chr1	RP1-34M23.5__chr1
RP1-34P24.3__chr22	RP1-34P24.3__chr22
RP1-35C21.1__chr1	RP1-35C21.1__chr1
RP1-35C21.2__chr1	RP1-35C21.2__chr1
RP1-37C10.3__chr1	RP1-37C10.3__chr1
RP1-37E16.12__chr22	RP1-37E16.12__chr22
RP1-37J18.1__chr1	RP1-37J18.1__chr1
RP1-37J18.2__chr1	RP1-37J18.2__chr1
RP1-37N7.1__chr17	RP1-37N7.1__chr17
RP1-38C16.2__chr6	RP1-38C16.2__chr6
RP1-39G22.7__chr1	RP1-39G22.7__chr1
RP1-39J2.1__chr6	RP1-39J2.1__chr6
RP1-40E16.11__chr6	RP1-40E16.11__chr6
RP1-40E16.12__chr6	RP1-40E16.12__chr6
RP1-40E16.2__chr6	RP1-40E16.2__chr6
RP1-40E16.9__chr6	RP1-40E16.9__chr6
RP1-41C23.1__chr17	RP1-41C23.1__chr17
RP1-41C23.2__chr17	RP1-41C23.2__chr17
RP1-41C23.4__chr17	RP1-41C23.4__chr17
RP1-41P2.7__chr22	RP1-41P2.7__chr22
RP1-43E13.2__chr1	RP1-43E13.2__chr1
RP1-45C12.1__chr1	RP1-45C12.1__chr1
RP1-45I4.2__chr6	RP1-45I4.2__chr6
RP1-45I4.3__chr6	RP1-45I4.3__chr6
RP1-45N11.1__chr6	RP1-45N11.1__chr6
RP1-46F2.3__chr12	RP1-46F2.3__chr12
RP1-47M23.3__chr6	RP1-47M23.3__chr6
RP1-4G17.2__chr17	RP1-4G17.2__chr17
RP1-4G17.5__chr17	RP1-4G17.5__chr17
RP1-50J22.4__chr6	RP1-50J22.4__chr6
RP1-50O24.6__chr1	RP1-50O24.6__chr1
RP1-53O8.2__chr12	RP1-53O8.2__chr12
RP1-55C23.7__chr6	RP1-55C23.7__chr6
RP1-56J10.8__chr22	RP1-56J10.8__chr22
RP1-56K13.2__chr17	RP1-56K13.2__chr17
RP1-56K13.3__chr17	RP1-56K13.3__chr17
RP1-56K13.5__chr17	RP1-56K13.5__chr17
RP1-58B11.1__chr1	RP1-58B11.1__chr1
RP1-59D14.10__chr17	RP1-59D14.10__chr17
RP1-59D14.1__chr17	RP1-59D14.1__chr17
RP1-59D14.5__chr17	RP1-59D14.5__chr17
RP1-59D14.8__chr17	RP1-59D14.8__chr17
RP1-59M18.2__chr11	RP1-59M18.2__chr11
RP1-5O6.4__chr22	RP1-5O6.4__chr22
RP1-5O6.5__chr22	RP1-5O6.5__chr22
RP1-60N8.1__chrX	RP1-60N8.1__chrX
RP1-60O19.1__chr6	RP1-60O19.1__chr6
RP1-60O19.2__chr6	RP1-60O19.2__chr6
RP1-63G5.7__chr22	RP1-63G5.7__chr22
RP1-63G5.8__chr22	RP1-63G5.8__chr22
RP1-63M2.5__chr20	RP1-63M2.5__chr20
RP1-63M2.7__chr20	RP1-63M2.7__chr20
RP1-65J11.5__chr1	RP1-65J11.5__chr1
RP1-65P5.3__chr11	RP1-65P5.3__chr11
RP1-65P5.5__chr11	RP1-65P5.5__chr11
RP1-66C13.4__chr17	RP1-66C13.4__chr17
RP1-66N13.1__chr20	RP1-66N13.1__chr20
RP1-66N13.4__chr20	RP1-66N13.4__chr20
RP1-67A8.3__chr6	RP1-67A8.3__chr6
RP1-67K17.3__chr6	RP1-67K17.3__chr6
RP1-67K17.4__chr6	RP1-67K17.4__chr6
RP1-68D18.2__chr11	RP1-68D18.2__chr11
RP1-68D18.3__chr11	RP1-68D18.3__chr11
RP1-68D18.4__chr11	RP1-68D18.4__chr11
RP1-69D17.3__chr6	RP1-69D17.3__chr6
RP1-69D17.4__chr6	RP1-69D17.4__chr6
RP1-69M21.2__chr1	RP1-69M21.2__chr1
RP1-71H19.2__chr6	RP1-71H19.2__chr6
RP1-71H24.1__chr12	RP1-71H24.1__chr12
RP1-72A23.4__chr6	RP1-72A23.4__chr6
RP1-74B13.2__chr12	RP1-74B13.2__chr12
RP1-76B20.11__chr22	RP1-76B20.11__chr22
RP1-76B20.12__chr22	RP1-76B20.12__chr22
RP1-77H15.1__chr17	RP1-77H15.1__chr17
RP1-78B3.1__chr22	RP1-78B3.1__chr22
RP1-78O14.1__chr12	RP1-78O14.1__chr12
RP1-79C4.1__chr1	RP1-79C4.1__chr1
RP1-79C4.4__chr1	RP1-79C4.4__chr1
RP1-7G5.6__chr12	RP1-7G5.6__chr12
RP1-80N2.2__chr6	RP1-80N2.2__chr6
RP1-80N2.3__chr6	RP1-80N2.3__chr6
RP1-80N2.4__chr6	RP1-80N2.4__chr6
RP1-81D8.3__chr6	RP1-81D8.3__chr6
RP1-81P11.1__chr12	RP1-81P11.1__chr12
RP1-84O15.2__chr8	RP1-84O15.2__chr8
RP1-85F18.6__chr22	RP1-85F18.6__chr22
RP1-86C11.7__chr6	RP1-86C11.7__chr6
RP1-86D1.5__chr6	RP1-86D1.5__chr6
RP1-8B1.4__chr6	RP1-8B1.4__chr6
RP1-90G24.10__chr22	RP1-90G24.10__chr22
RP1-90G24.11__chr22	RP1-90G24.11__chr22
RP1-90G24.6__chr22	RP1-90G24.6__chr22
RP1-90G24.8__chr22	RP1-90G24.8__chr22
RP1-90J20.2__chr6	RP1-90J20.2__chr6
RP1-90J20.8__chr6	RP1-90J20.8__chr6
RP1-90J4.1__chr12	RP1-90J4.1__chr12
RP1-90K10.4__chr6	RP1-90K10.4__chr6
RP1-91J24.3__chr6	RP1-91J24.3__chr6
RP1-92C4.2__chr6	RP1-92C4.2__chr6
RP1-92C8.3__chr6	RP1-92C8.3__chr6
RP1-92O14.3__chr1	RP1-92O14.3__chr1
RP1-92O14.6__chr1	RP1-92O14.6__chr1
RP1-93H18.1__chr6	RP1-93H18.1__chr6
RP1-93H18.6__chr6	RP1-93H18.6__chr6
RP1-97G4.1__chr12	RP1-97G4.1__chr12
RP1-97J1.2__chr6	RP1-97J1.2__chr6
RP11-1000B6.2__chr15	RP11-1000B6.2__chr15
RP11-1000B6.3__chr15	RP11-1000B6.3__chr15
RP11-1000B6.5__chr15	RP11-1000B6.5__chr15
RP11-1000B6.7__chr15	RP11-1000B6.7__chr15
RP11-1000B6.8__chr15	RP11-1000B6.8__chr15
RP11-1006G14.1__chr15	RP11-1006G14.1__chr15
RP11-1006G14.2__chr15	RP11-1006G14.2__chr15
RP11-1006G14.4__chr15	RP11-1006G14.4__chr15
RP11-1007G5.2__chr11	RP11-1007G5.2__chr11
RP11-1007I13.4__chrX	RP11-1007I13.4__chrX
RP11-1007O24.2__chr15	RP11-1007O24.2__chr15
RP11-1007O24.3__chr15	RP11-1007O24.3__chr15
RP11-1008C21.1__chr15	RP11-1008C21.1__chr15
RP11-1008C21.2__chr15	RP11-1008C21.2__chr15
RP11-100E13.1__chr1	RP11-100E13.1__chr1
RP11-100F15.1__chr12	RP11-100F15.1__chr12
RP11-100F15.2__chr12	RP11-100F15.2__chr12
RP11-100G15.10__chr9	RP11-100G15.10__chr9
RP11-100K18.1__chr18	RP11-100K18.1__chr18
RP11-100L22.1__chr8	RP11-100L22.1__chr8
RP11-100L22.3__chr8	RP11-100L22.3__chr8
RP11-100L22.4__chr8	RP11-100L22.4__chr8
RP11-100M12.1__chr15	RP11-100M12.1__chr15
RP11-100M12.2__chr15	RP11-100M12.2__chr15
RP11-100M12.3__chr15	RP11-100M12.3__chr15
RP11-100N20.1__chr4	RP11-100N20.1__chr4
RP11-1012A1.4__chr14	RP11-1012A1.4__chr14
RP11-1012E15.2__chr14	RP11-1012E15.2__chr14
RP11-1017G21.4__chr14	RP11-1017G21.4__chr14
RP11-1017G21.5__chr14	RP11-1017G21.5__chr14
RP11-1017G21.6__chr14	RP11-1017G21.6__chr14
RP11-1018N14.1__chr17	RP11-1018N14.1__chr17
RP11-1018N14.2__chr17	RP11-1018N14.2__chr17
RP11-1018N14.3__chr17	RP11-1018N14.3__chr17
RP11-1018N14.4__chr17	RP11-1018N14.4__chr17
RP11-1018N14.5__chr17	RP11-1018N14.5__chr17
RP11-101C11.1__chr1	RP11-101C11.1__chr1
RP11-101C21.4__chr3	RP11-101C21.4__chr3
RP11-101E13.5__chr1	RP11-101E13.5__chr1
RP11-101E14.3__chr20	RP11-101E14.3__chr20
RP11-101E3.5__chr9	RP11-101E3.5__chr9
RP11-101E5.1__chr9	RP11-101E5.1__chr9
RP11-101E5.6__chr9	RP11-101E5.6__chr9
RP11-101E7.2__chr16	RP11-101E7.2__chr16
RP11-101O21.1__chr17	RP11-101O21.1__chr17
RP11-1020A11.1__chr3	RP11-1020A11.1__chr3
RP11-1020A11.2__chr3	RP11-1020A11.2__chr3
RP11-1020M18.10__chr12	RP11-1020M18.10__chr12
RP11-1021N1.1__chr16	RP11-1021N1.1__chr16
RP11-1022B3.1__chr12	RP11-1022B3.1__chr12
RP11-1023P17.2__chr8	RP11-1023P17.2__chr8
RP11-1024P17.1__chr3	RP11-1024P17.1__chr3
RP11-1026M7.2__chr5	RP11-1026M7.2__chr5
RP11-1026M7.3__chr5	RP11-1026M7.3__chr5
RP11-1028N23.2__chr12	RP11-1028N23.2__chr12
RP11-1028N23.3__chr12	RP11-1028N23.3__chr12
RP11-1028N23.4__chr12	RP11-1028N23.4__chr12
RP11-1029J19.2__chr14	RP11-1029J19.2__chr14
RP11-1029J19.4__chr14	RP11-1029J19.4__chr14
RP11-1029J19.5__chr14	RP11-1029J19.5__chr14
RP11-102C16.3__chr1	RP11-102C16.3__chr1
RP11-102F4.2__chr8	RP11-102F4.2__chr8
RP11-102G14.1__chr14	RP11-102G14.1__chr14
RP11-102J14.1__chr20	RP11-102J14.1__chr20
RP11-102L12.2__chr15	RP11-102L12.2__chr15
RP11-102M11.2__chr3	RP11-102M11.2__chr3
RP11-102N11.1__chr6	RP11-102N11.1__chr6
RP11-102N12.2__chr4	RP11-102N12.2__chr4
RP11-102N12.3__chr4	RP11-102N12.3__chr4
RP11-1030E3.1__chr18	RP11-1030E3.1__chr18
RP11-1033H12.1__chr14	RP11-1033H12.1__chr14
RP11-1035H13.2__chr16	RP11-1035H13.2__chr16
RP11-1035H13.3__chr16	RP11-1035H13.3__chr16
RP11-1036E20.9__chr11	RP11-1036E20.9__chr11
RP11-1038A11.1__chr12	RP11-1038A11.1__chr12
RP11-1038A11.2__chr12	RP11-1038A11.2__chr12
RP11-1038A11.3__chr12	RP11-1038A11.3__chr12
RP11-103B5.4__chr12	RP11-103B5.4__chr12
RP11-103C16.2__chr6	RP11-103C16.2__chr6
RP11-103C3.1__chr1	RP11-103C3.1__chr1
RP11-103H7.1__chr8	RP11-103H7.1__chr8
RP11-103H7.2__chr8	RP11-103H7.2__chr8
RP11-103H7.3__chr8	RP11-103H7.3__chr8
RP11-103H7.5__chr8	RP11-103H7.5__chr8
RP11-103J17.1__chr4	RP11-103J17.1__chr4
RP11-103J17.2__chr4	RP11-103J17.2__chr4
RP11-103J8.1__chr20	RP11-103J8.1__chr20
RP11-103J8.2__chr20	RP11-103J8.2__chr20
RP11-1041F24.1__chr12	RP11-1041F24.1__chr12
RP11-1042B17.3__chr14	RP11-1042B17.3__chr14
RP11-1046B16.3__chr14	RP11-1046B16.3__chr14
RP11-1049A21.2__chr12	RP11-1049A21.2__chr12
RP11-1049H7.2__chr8	RP11-1049H7.2__chr8
RP11-104E19.1__chr14	RP11-104E19.1__chr14
RP11-104F15.9__chr10	RP11-104F15.9__chr10
RP11-104H15.7__chr17	RP11-104H15.7__chr17
RP11-104H15.8__chr17	RP11-104H15.8__chr17
RP11-104H15.9__chr17	RP11-104H15.9__chr17
RP11-104J23.1__chr17	RP11-104J23.1__chr17
RP11-104J23.2__chr17	RP11-104J23.2__chr17
RP11-104L21.2__chr1	RP11-104L21.2__chr1
RP11-104L21.3__chr1	RP11-104L21.3__chr1
RP11-104N10.1__chr16	RP11-104N10.1__chr16
RP11-104N10.2__chr16	RP11-104N10.2__chr16
RP11-104O19.4__chr17	RP11-104O19.4__chr17
RP11-1055B8.10__chr17	RP11-1055B8.10__chr17
RP11-1055B8.1__chr17	RP11-1055B8.1__chr17
RP11-1055B8.2__chr17	RP11-1055B8.2__chr17
RP11-1055B8.3__chr17	RP11-1055B8.3__chr17
RP11-1055B8.4__chr17	RP11-1055B8.4__chr17
RP11-1055B8.8__chr17	RP11-1055B8.8__chr17
RP11-1055B8.9__chr17	RP11-1055B8.9__chr17
RP11-1057B6.1__chr2	RP11-1057B6.1__chr2
RP11-1057B8.2__chr8	RP11-1057B8.2__chr8
RP11-1058N17.1__chr18	RP11-1058N17.1__chr18
RP11-105C19.1__chr16	RP11-105C19.1__chr16
RP11-105C19.2__chr16	RP11-105C19.2__chr16
RP11-105N14.1__chr2	RP11-105N14.1__chr2
RP11-105N14.2__chr2	RP11-105N14.2__chr2
RP11-105N14.3__chr2	RP11-105N14.3__chr2
RP11-1060G2.1__chr12	RP11-1060G2.1__chr12
RP11-1060G2.2__chr12	RP11-1060G2.2__chr12
RP11-1060J15.4__chr12	RP11-1060J15.4__chr12
RP11-1060J15.7__chr12	RP11-1060J15.7__chr12
RP11-1060J15.9__chr12	RP11-1060J15.9__chr12
RP11-1069G10.1__chr15	RP11-1069G10.1__chr15
RP11-1069G10.2__chr15	RP11-1069G10.2__chr15
RP11-106D4.2__chr16	RP11-106D4.2__chr16
RP11-106E15.1__chr18	RP11-106E15.1__chr18
RP11-106M3.3__chr15	RP11-106M3.3__chr15
RP11-106M3.5__chr15	RP11-106M3.5__chr15
RP11-106M7.1__chr10	RP11-106M7.1__chr10
RP11-1070A24.2__chr8	RP11-1070A24.2__chr8
RP11-1070N10.3__chr14	RP11-1070N10.3__chr14
RP11-1070N10.4__chr14	RP11-1070N10.4__chr14
RP11-1070N10.5__chr14	RP11-1070N10.5__chr14
RP11-1070N10.6__chr14	RP11-1070N10.6__chr14
RP11-1070N10.7__chr14	RP11-1070N10.7__chr14
RP11-1072A3.3__chr16	RP11-1072A3.3__chr16
RP11-1072A3.4__chr16	RP11-1072A3.4__chr16
RP11-1072C15.4__chr17	RP11-1072C15.4__chr17
RP11-1072C15.6__chr17	RP11-1072C15.6__chr17
RP11-1072N2.3__chr5	RP11-1072N2.3__chr5
RP11-1078H9.1__chr14	RP11-1078H9.1__chr14
RP11-1078H9.2__chr14	RP11-1078H9.2__chr14
RP11-1078H9.5__chr14	RP11-1078H9.5__chr14
RP11-1078H9.6__chr14	RP11-1078H9.6__chr14
RP11-1079H9.1__chr14	RP11-1079H9.1__chr14
RP11-1079K10.2__chr17	RP11-1079K10.2__chr17
RP11-1079K10.3__chr17	RP11-1079K10.3__chr17
RP11-1079K10.4__chr17	RP11-1079K10.4__chr17
RP11-1079K10.5__chr17	RP11-1079K10.5__chr17
RP11-107D24.2__chr15	RP11-107D24.2__chr15
RP11-107E5.3__chr2	RP11-107E5.3__chr2
RP11-107E5.4__chr2	RP11-107E5.4__chr2
RP11-107F6.3__chr15	RP11-107F6.3__chr15
RP11-107I14.2__chr10	RP11-107I14.2__chr10
RP11-107I14.4__chr10	RP11-107I14.4__chr10
RP11-107I14.5__chr10	RP11-107I14.5__chr10
RP11-107M16.2__chr1	RP11-107M16.2__chr1
RP11-107N15.1__chr2	RP11-107N15.1__chr2
RP11-107N7.1__chr5	RP11-107N7.1__chr5
RP11-1080G15.1__chr8	RP11-1080G15.1__chr8
RP11-1080G15.2__chr8	RP11-1080G15.2__chr8
RP11-1081L13.4__chr11	RP11-1081L13.4__chr11
RP11-1081M5.1__chr8	RP11-1081M5.1__chr8
RP11-1081M5.2__chr8	RP11-1081M5.2__chr8
RP11-1082A3.1__chr14	RP11-1082A3.1__chr14
RP11-1082L8.2__chr8	RP11-1082L8.2__chr8
RP11-1082L8.3__chr8	RP11-1082L8.3__chr8
RP11-1082L8.4__chr8	RP11-1082L8.4__chr8
RP11-1084A12.2__chr15	RP11-1084A12.2__chr15
RP11-1084E5.1__chr8	RP11-1084E5.1__chr8
RP11-1084I9.1__chr15	RP11-1084I9.1__chr15
RP11-1084I9.2__chr15	RP11-1084I9.2__chr15
RP11-1085N6.2__chr14	RP11-1085N6.2__chr14
RP11-1085N6.3__chr14	RP11-1085N6.3__chr14
RP11-1085N6.4__chr14	RP11-1085N6.4__chr14
RP11-1085N6.5__chr14	RP11-1085N6.5__chr14
RP11-1086F11.1__chr1	RP11-1086F11.1__chr1
RP11-1086I4.2__chr17	RP11-1086I4.2__chr17
RP11-108A14.1__chr8	RP11-108A14.1__chr8
RP11-108B14.5__chr10	RP11-108B14.5__chr10
RP11-108E14.1__chr8	RP11-108E14.1__chr8
RP11-108H9.1__chr13	RP11-108H9.1__chr13
RP11-108K14.12__chr10	RP11-108K14.12__chr10
RP11-108K14.8__chr10	RP11-108K14.8__chr10
RP11-108K3.1__chr15	RP11-108K3.1__chr15
RP11-108K3.2__chr15	RP11-108K3.2__chr15
RP11-108K3.3__chr15	RP11-108K3.3__chr15
RP11-108K3.4__chr15	RP11-108K3.4__chr15
RP11-108L7.14__chr10	RP11-108L7.14__chr10
RP11-108L7.15__chr10	RP11-108L7.15__chr10
RP11-108L7.4__chr10	RP11-108L7.4__chr10
RP11-108M12.3__chr14	RP11-108M12.3__chr14
RP11-108M9.1__chr1	RP11-108M9.1__chr1
RP11-108M9.2__chr1	RP11-108M9.2__chr1
RP11-108M9.4__chr1	RP11-108M9.4__chr1
RP11-108M9.6__chr1	RP11-108M9.6__chr1
RP11-108O10.2__chr11	RP11-108O10.2__chr11
RP11-108O10.8__chr11	RP11-108O10.8__chr11
RP11-108P20.2__chr18	RP11-108P20.2__chr18
RP11-108P20.3__chr18	RP11-108P20.3__chr18
RP11-108P20.4__chr18	RP11-108P20.4__chr18
RP11-1090M7.1__chr17	RP11-1090M7.1__chr17
RP11-1090M7.3__chr17	RP11-1090M7.3__chr17
RP11-1094H24.3__chr17	RP11-1094H24.3__chr17
RP11-1094H24.4__chr17	RP11-1094H24.4__chr17
RP11-1094M14.10__chr17	RP11-1094M14.10__chr17
RP11-1094M14.11__chr17	RP11-1094M14.11__chr17
RP11-1094M14.12__chr17	RP11-1094M14.12__chr17
RP11-1094M14.14__chr17	RP11-1094M14.14__chr17
RP11-1094M14.5__chr17	RP11-1094M14.5__chr17
RP11-1096D5.2__chr18	RP11-1096D5.2__chr18
RP11-1096G20.5__chr17	RP11-1096G20.5__chr17
RP11-1099M24.6__chr17	RP11-1099M24.6__chr17
RP11-1099M24.7__chr17	RP11-1099M24.7__chr17
RP11-1099M24.9__chr17	RP11-1099M24.9__chr17
RP11-109A6.2__chr10	RP11-109A6.2__chr10
RP11-109A6.3__chr10	RP11-109A6.3__chr10
RP11-109D20.1__chr15	RP11-109D20.1__chr15
RP11-109D24.1__chr16	RP11-109D24.1__chr16
RP11-109D9.4__chr9	RP11-109D9.4__chr9
RP11-109E10.1__chr11	RP11-109E10.1__chr11
RP11-109E12.1__chr2	RP11-109E12.1__chr2
RP11-109E24.1__chr4	RP11-109E24.1__chr4
RP11-109E24.2__chr4	RP11-109E24.2__chr4
RP11-109G23.3__chr4	RP11-109G23.3__chr4
RP11-109I13.2__chr10	RP11-109I13.2__chr10
RP11-109J4.1__chr5	RP11-109J4.1__chr5
RP11-109M17.2__chr9	RP11-109M17.2__chr9
RP11-109M19.1__chr16	RP11-109M19.1__chr16
RP11-109N23.4__chr14	RP11-109N23.4__chr14
RP11-109P11.1__chr16	RP11-109P11.1__chr16
RP11-109P14.10__chr1	RP11-109P14.10__chr1
RP11-109P14.9__chr1	RP11-109P14.9__chr1
RP11-109P6.2__chr8	RP11-109P6.2__chr8
RP11-10A14.3__chr8	RP11-10A14.3__chr8
RP11-10A14.4__chr8	RP11-10A14.4__chr8
RP11-10A14.5__chr8	RP11-10A14.5__chr8
RP11-10A14.6__chr8	RP11-10A14.6__chr8
RP11-10A14.7__chr8	RP11-10A14.7__chr8
RP11-10A14.9__chr8	RP11-10A14.9__chr8
RP11-10C24.1__chr3	RP11-10C24.1__chr3
RP11-10C24.2__chr3	RP11-10C24.2__chr3
RP11-10C24.3__chr3	RP11-10C24.3__chr3
RP11-10C8.2__chr8	RP11-10C8.2__chr8
RP11-10E18.7__chr13	RP11-10E18.7__chr13
RP11-10H3.1__chr8	RP11-10H3.1__chr8
RP11-10J18.3__chr9	RP11-10J18.3__chr9
RP11-10J21.2__chr8	RP11-10J21.2__chr8
RP11-10J21.3__chr8	RP11-10J21.3__chr8
RP11-10J21.4__chr8	RP11-10J21.4__chr8
RP11-10J21.5__chr8	RP11-10J21.5__chr8
RP11-10J21.6__chr8	RP11-10J21.6__chr8
RP11-10J5.1__chr6	RP11-10J5.1__chr6
RP11-10K16.1__chr4	RP11-10K16.1__chr4
RP11-10K17.6__chr16	RP11-10K17.6__chr16
RP11-10L12.4__chr4	RP11-10L12.4__chr4
RP11-10L7.1__chr4	RP11-10L7.1__chr4
RP11-10N16.2__chr1	RP11-10N16.2__chr1
RP11-10N16.3__chr1	RP11-10N16.3__chr1
RP11-10N23.2__chr8	RP11-10N23.2__chr8
RP11-10N23.4__chr8	RP11-10N23.4__chr8
RP11-10N23.5__chr8	RP11-10N23.5__chr8
RP11-10O17.3__chr15	RP11-10O17.3__chr15
RP11-10O22.1__chr3	RP11-10O22.1__chr3
RP11-1100L3.7__chr12	RP11-1100L3.7__chr12
RP11-1100L3.8__chr12	RP11-1100L3.8__chr12
RP11-1101H11.1__chr5	RP11-1101H11.1__chr5
RP11-1101K5.1__chr8	RP11-1101K5.1__chr8
RP11-1102P16.1__chr8	RP11-1102P16.1__chr8
RP11-1102P22.1__chr16	RP11-1102P22.1__chr16
RP11-1102P22.2__chr16	RP11-1102P22.2__chr16
RP11-1102P22.3__chr16	RP11-1102P22.3__chr16
RP11-1103G16.1__chr14	RP11-1103G16.1__chr14
RP11-1105G2.3__chr12	RP11-1105G2.3__chr12
RP11-1105G2.4__chr12	RP11-1105G2.4__chr12
RP11-1105O14.1__chr8	RP11-1105O14.1__chr8
RP11-1109F11.3__chr12	RP11-1109F11.3__chr12
RP11-1109F11.5__chr12	RP11-1109F11.5__chr12
RP11-1109M24.16__chr17	RP11-1109M24.16__chr17
RP11-1109M24.5__chr17	RP11-1109M24.5__chr17
RP11-110A12.2__chr12	RP11-110A12.2__chr12
RP11-110G21.1__chr8	RP11-110G21.1__chr8
RP11-110G21.2__chr8	RP11-110G21.2__chr8
RP11-110H1.4__chr18	RP11-110H1.4__chr18
RP11-110H1.8__chr18	RP11-110H1.8__chr18
RP11-110H1.9__chr18	RP11-110H1.9__chr18
RP11-110I1.11__chr11	RP11-110I1.11__chr11
RP11-110I1.12__chr11	RP11-110I1.12__chr11
RP11-110I1.13__chr11	RP11-110I1.13__chr11
RP11-110I1.14__chr11	RP11-110I1.14__chr11
RP11-110I1.6__chr11	RP11-110I1.6__chr11
RP11-110L15.1__chr12	RP11-110L15.1__chr12
RP11-110L15.2__chr12	RP11-110L15.2__chr12
RP11-1110F20.1__chr11	RP11-1110F20.1__chr11
RP11-1112C15.2__chr8	RP11-1112C15.2__chr8
RP11-1112J20.2__chr14	RP11-1112J20.2__chr14
RP11-1113L8.1__chr17	RP11-1113L8.1__chr17
RP11-1114A5.4__chrX	RP11-1114A5.4__chrX
RP11-1114I9.1__chr8	RP11-1114I9.1__chr8
RP11-111A21.1__chr14	RP11-111A21.1__chr14
RP11-111A22.1__chr15	RP11-111A22.1__chr15
RP11-111D3.2__chr6	RP11-111D3.2__chr6
RP11-111E14.1__chr15	RP11-111E14.1__chr15
RP11-111F5.3__chr9	RP11-111F5.3__chr9
RP11-111F5.4__chr9	RP11-111F5.4__chr9
RP11-111F5.8__chr9	RP11-111F5.8__chr9
RP11-111H13.1__chr2	RP11-111H13.1__chr2
RP11-111H3.3__chr18	RP11-111H3.3__chr18
RP11-111I12.1__chr1	RP11-111I12.1__chr1
RP11-111J6.2__chr2	RP11-111J6.2__chr2
RP11-111K18.1__chr7	RP11-111K18.1__chr7
RP11-111K18.2__chr7	RP11-111K18.2__chr7
RP11-111M22.2__chr11	RP11-111M22.2__chr11
RP11-111M22.3__chr11	RP11-111M22.3__chr11
RP11-111M22.4__chr11	RP11-111M22.4__chr11
RP11-111M22.5__chr11	RP11-111M22.5__chr11
RP11-1123I8.1__chr15	RP11-1123I8.1__chr15
RP11-1124B17.1__chr17	RP11-1124B17.1__chr17
RP11-1127D7.1__chr14	RP11-1127D7.1__chr14
RP11-1127D7.2__chr14	RP11-1127D7.2__chr14
RP11-1129I3.1__chr15	RP11-1129I3.1__chr15
RP11-112J3.15__chr9	RP11-112J3.15__chr9
RP11-112J3.16__chr9	RP11-112J3.16__chr9
RP11-112L6.2__chr20	RP11-112L6.2__chr20
RP11-112L6.3__chr20	RP11-112L6.3__chr20
RP11-112L7.1__chr5	RP11-112L7.1__chr5
RP11-1134I14.8__chr8	RP11-1134I14.8__chr8
RP11-1136G11.8__chr12	RP11-1136G11.8__chr12
RP11-1136G4.1__chr16	RP11-1136G4.1__chr16
RP11-1136G4.2__chr16	RP11-1136G4.2__chr16
RP11-1136J12.1__chr18	RP11-1136J12.1__chr18
RP11-1137G4.3__chr19	RP11-1137G4.3__chr19
RP11-113D6.6__chr11	RP11-113D6.6__chr11
RP11-113E21.2__chr10	RP11-113E21.2__chr10
RP11-113E21.3__chr10	RP11-113E21.3__chr10
RP11-113I22.1__chr5	RP11-113I22.1__chr5
RP11-113K21.4__chr11	RP11-113K21.4__chr11
